Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
33553.209,1139768,33553,200000000,,-5.0803853712639855,-5.793997961216169,-0.00044127106150946074,-0.00024289764134088286,-7.030270047625825e-05,0.023189413389174605,0.9997310574174098
33553.233,1139769,33553,230000000,,-5.080376087975629,-5.793999084437581,-0.0004797478567809023,-0.000328589884802159,5.3723842404216364e-05,0.045764783164719304,0.9989521879270913
33553.272,1139770,33553,269000000,,-5.080715270998164,-5.794037532241423,-0.000516833526012471,-0.0004979430117154873,0.00020771848603177406,0.07602191540062807,0.9971060010272768
33553.302,1139771,33553,284000000,,-5.080819823065748,-5.794054547350679,-0.0005302214124218198,-0.000530475803340483,0.00025213513421780263,0.08756274968146831,0.9961588326625008
33553.323,1139772,33553,302000000,,-5.080769940072023,-5.794049468377117,-0.0005512110836757671,-0.0005575327153065049,0.0003153190702771618,0.10090912873041134,0.9948954404710199
33553.353,1139773,33553,302000000,,-5.080769940072023,-5.794049468377117,-0.0005512110836757671,-0.0005575327153065049,0.0003153190702771618,0.10090912873041134,0.9948954404710199
33553.401,1139774,33553,371000000,,-5.079030036985366,-5.793615885873391,-0.0006217853224350922,-0.0005755724419939167,0.0004963334583742519,0.14749165085483218,0.9890630087600984
33553.41,1139775,33553,407000000,,-5.077825433507697,-5.793236616107813,-0.0006175782771408664,-0.0006510235227556683,0.00048735840388117955,0.1702978297965609,0.9853923014803496
33553.449,1139776,33553,437000000,,-5.076501573434666,-5.7927206660474155,-0.0006353503002048851,-0.000693835488335683,0.0005333913474689525,0.19026875389420617,0.981731651408638
33553.464,1139777,33553,464000000,,-5.075258826406289,-5.792188474231475,-0.000658435614407038,-0.0007386260687976475,0.0005982861912407104,0.20428443088320433,0.9789111133212705
33553.497,1139778,33553,494000000,,-5.073292400025732,-5.791287957415952,-0.0006897689142404927,-0.0008008872367828187,0.0006857723137386754,0.2214679122156329,0.9751670893517769
33553.527,1139779,33553,524000000,,-5.0707895858182725,-5.7900410659482695,-0.000721055573376761,-0.000868817970976404,0.0007717557533988047,0.23842222905672641,0.9711608982243944
33553.557,1139780,33553,557000000,,-5.067442417765996,-5.788218856286867,-0.0007525604290826993,-0.0009494497287155576,0.000856810082437088,0.25625158856749647,0.9666092735838663
33553.587,1139781,33553,581000000,,-5.064736129259625,-5.786639049653708,-0.0007767187359281578,-0.001001095478652855,0.0009210448276852432,0.2677140668399149,0.9634974457155044
33553.614,1139782,33553,608000000,,-5.061301244792299,-5.784512105926233,-0.0008051591884298513,-0.0010682139128635492,0.0009984454075524923,0.27895362620183506,0.9603034606074536
33553.647,1139783,33553,641000000,,-5.057838847658015,-5.782245212353421,-0.0008104812620721227,-0.0011000458571418959,0.001000580397233078,0.29269069151973814,0.9562060174646875
33553.674,1139784,33553,668000000,,-5.055700819459193,-5.780776977098179,-0.0007976256020690124,-0.0011503701080323757,0.0009559439623479987,0.30377432416488637,0.9527428419032713
33553.704,1139785,33553,701000000,,-5.052613466317094,-5.77851798992472,-0.0008046041028203395,-0.0011412608026916667,0.0009541536101001986,0.31885502448110586,0.9478023319647518
33553.737,1139786,33553,731000000,,-5.049357434466017,-5.7759877898042,-0.0008226577443119533,-0.001116141522407187,0.000986826799454418,0.33111131213749445,0.9435905252680086
33553.761,1139787,33553,761000000,,-5.045763116311061,-5.77307088593506,-0.0008374469014379785,-0.0011117824254673293,0.001015251482174431,0.34132679685997175,0.9399434828486115
33553.791,1139788,33553,788000000,,-5.042354890601409,-5.770185340997581,-0.0008054550036760318,-0.0012067712052525191,0.00092261792230435,0.34891171965171514,0.9371543652830683
33553.821,1139789,33553,821000000,,-5.038090751094557,-5.766394536837804,-0.000746804799273644,-0.0013513652468368517,0.0007542299413585102,0.3578948860701081,0.9337605985872554
33553.851,1139790,33553,848000000,,-5.034067625290867,-5.762702854617516,-0.0007256541147563356,-0.001383859940401651,0.0006858274709983239,0.36551079894600047,0.9308058177870409
33553.881,1139791,33553,878000000,,-5.030855446769269,-5.759670096439224,-0.0007341667925768285,-0.001357076904313204,0.0006978477234619762,0.37252011977063193,0.9280228616348332
33553.908,1139792,33553,902000000,,-5.028358393258016,-5.757249530966322,-0.0007457939269061124,-0.001328019382876606,0.0007197624064000986,0.37881760591124947,0.9254701182416785
33553.938,1139793,33553,935000000,,-5.024939631370218,-5.753800783470694,-0.0007601748428254923,-0.001297246368918427,0.0007428049985350769,0.3902113539503761,0.9207240980015711
33553.968,1139794,33553,962000000,,-5.022645045880606,-5.751389202682024,-0.0007746434582105062,-0.001270470317051714,0.0007686599930357269,0.4000589187936529,0.9164882195427511
33553.998,1139795,33553,995000000,,-5.020495546993563,-5.749028025058283,-0.0007882780392826708,-0.0012546496743850901,0.0007909645764413291,0.4114894515778704,0.9114133153895528
33554.037,1139796,33554,25000000,,-5.018581754454663,-5.746797879364846,-0.0007944366684811445,-0.001252040040437585,0.0007894939987930562,0.42506191920487507,0.9051630648324264
33554.055,1139797,33554,52000000,,-5.01741745737433,-5.745363140277997,-0.0007985218876427301,-0.0012549167925712424,0.0007854979840547226,0.43625214655973926,0.8998232453092
33554.085,1139798,33554,82000000,,-5.016233542508272,-5.743821604721378,-0.0007898304329373301,-0.0012949232405255107,0.0007380864705447301,0.4518626113802894,0.8920862956232142
33554.115,1139799,33554,112000000,,-5.015246057414129,-5.742438760344323,-0.0007642533129322074,-0.0013520396919507816,0.0006366918125296707,0.46987197112647033,0.8827333104408899
