Time,data
34346.412,3
34346.436,3
34346.472,3
34346.496,3
34346.526,3
34346.556,3
34346.586,3
34346.616,3
34346.64,3
34346.688,3
34346.706,3
34346.736,3
34346.763,3
34346.796,3
34346.82,3
