Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
34034.145,1156120,34034,139000000,,-3.354009178508966,-2.2950689652207314,-0.0006595585510943205,-0.0015367440472623072,-0.00010223754635346382,0.6985854406030452,0.7155249891811374
34034.175,1156121,34034,172000000,,-3.3539785563211995,-2.2922544976511987,-0.0006669061702498091,-0.001528788665804889,-0.00010428646740294778,0.7108250512432635,0.703367186080329
34034.202,1156122,34034,202000000,,-3.3540393072082435,-2.289129177078808,-0.000647378765963165,-0.0015589964890676356,-0.00020080181594389285,0.7221557877006582,0.6917286660960491
34034.229,1156123,34034,229000000,,-3.3541761085060218,-2.286041120458868,-0.0006484688161081456,-0.001572929195317365,-0.00022589483919618837,0.7316024424243798,0.6817296686399605
34034.262,1156124,34034,262000000,,-3.3544350488485675,-2.281953942256768,-0.0006434587597714987,-0.0016196238435995962,-0.00028679942783441575,0.7419116215623971,0.6704956676633697
34034.292,1156125,34034,289000000,,-3.354823929786998,-2.2783023589572555,-0.0006213904523094636,-0.0016383213210965286,-0.00038239094028378484,0.7492696008128019,0.6622629651265745
34034.328,1156126,34034,328000000,,-3.3556887573842142,-2.2723160244482044,-0.0006272845464989803,-0.0016173405350332867,-0.00038037357322865843,0.7585917021496484,0.6515641710186632
34034.352,1156127,34034,352000000,,-3.356252865758268,-2.2688485323450545,-0.0006420885360519275,-0.0016151555138641809,-0.000345882759316343,0.7633605930536019,0.6459704920587599
34034.379,1156128,34034,376000000,,-3.3569899436439905,-2.2647393713363733,-0.0006607913222241371,-0.0015934972301272971,-0.00029658611287906254,0.7702010515492054,0.6377991164902579
34034.412,1156129,34034,406000000,,-3.35791622055477,-2.2601613843721355,-0.0006722060391607144,-0.0015783091368528394,-0.000276339804738504,0.7784732719582133,0.627675710397698
34034.439,1156130,34034,436000000,,-3.359047780707966,-2.2552247559043472,-0.0006859634485225641,-0.0015748318850740258,-0.0002497026833287472,0.7859279141644523,0.6183160771726844
34034.469,1156131,34034,466000000,,-3.36021628058155,-2.250632385863997,-0.0006961655206150635,-0.001559107006886249,-0.00022952849997586272,0.7928887850422556,0.6093643335938073
34034.496,1156132,34034,493000000,,-3.3611879034013588,-2.2471308494607243,-0.0007026734899503694,-0.0015467833927881815,-0.0002196374637468175,0.79925391579414,0.6009914619262524
34034.529,1156133,34034,511000000,,-3.3619069462383755,-2.244733592612171,-0.0007155262623612761,-0.0015446969060267913,-0.000192239531040345,0.8043784333944858,0.5941152353249863
34034.559,1156134,34034,553000000,,-3.3634753359727187,-2.239939754678962,-0.0007314554454934605,-0.001520317701907299,-0.0001576855015597543,0.8155905793228165,0.5786274022972301
34034.586,1156135,34034,583000000,,-3.364403582212725,-2.2373597262088007,-0.0007331813933209794,-0.0015266181632900041,-0.00017685199035214483,0.82303141555706,0.5679937738800476
34034.616,1156136,34034,610000000,,-3.3653665969784097,-2.234916213290698,-0.0007212812175287908,-0.001533807129925984,-0.00024674220992571114,0.8317363536021711,0.5551686452336209
34034.646,1156137,34034,643000000,,-3.3665014982448613,-2.232220381626875,-0.0007239761911818493,-0.0015394906999204186,-0.0002647044404838689,0.839342207503433,0.5436011576544039
34034.673,1156138,34034,670000000,,-3.367752680466582,-2.2294810948509176,-0.0007064824184075773,-0.0015321122615427332,-0.0003373093602670301,0.8449893469334172,0.5347808358790082
34034.706,1156139,34034,703000000,,-3.369638589208771,-2.225660745875767,-0.0007140376176500984,-0.0015251769680639908,-0.0003241512525899931,0.8507595550998416,0.525552802454236
34034.733,1156140,34034,730000000,,-3.3712853931162265,-2.222479658739905,-0.0007179469689236051,-0.0015178955879923959,-0.0003245235721814127,0.8560334020601527,0.5169181804064894
34034.763,1156141,34034,763000000,,-3.373464835769898,-2.2184610776599865,-0.0007259660213959525,-0.0015083205147621503,-0.000314417208144177,0.8629344524867741,0.505313523292614
34034.793,1156142,34034,790000000,,-3.375547276757823,-2.214835281886889,-0.000734807054630169,-0.001514393967681802,-0.0003069923926802347,0.8683003461748253,0.49603641116278957
34034.82,1156143,34034,817000000,,-3.378065991347711,-2.210662919495079,-0.0007470906723853372,-0.0015052949965934073,-0.0002749320797569113,0.8734898793640509,0.48683990094064866
34034.85,1156144,34034,847000000,,-3.380136085050008,-2.2073932441784403,-0.0007585847506350399,-0.001494310076697226,-0.0002433057826622322,0.8781536042901831,0.47837637390641635
34034.883,1156145,34034,871000000,,-3.3818865759733856,-2.204738446370872,-0.0007673784510963191,-0.0014899365612424942,-0.00022554042872802258,0.8828746032329338,0.4696063928300468
34034.91,1156146,34034,907000000,,-3.3843863126334557,-2.2011498495993753,-0.0007766837876588828,-0.001509692191405452,-0.00023565215022003228,0.8903555308745893,0.45526332373537354
